epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-23,55,CE,Monsenhor Tabosa,2308609,city,88,510.61854,-2,3,0,0.0341,17234,True,False
26,2020-06-23,60,CE,Morada Nova,2308708,city,844,1363.70981,42,14,3,0.0166,61890,True,False
26,2020-06-23,52,CE,Moraújo,2308807,city,207,2372.76479,8,2,0,0.0097,8724,True,False
26,2020-06-23,51,CE,Morrinhos,2308906,city,257,1140.4988,19,7,1,0.0272,22534,True,False
26,2020-06-23,55,CE,Mucambo,2309003,city,164,1128.15574,12,2,0,0.0122,14537,True,False
26,2020-06-23,70,CE,Mulungu,2309102,city,44,406.54162,1,3,0,0.0682,10823,True,False
26,2020-06-23,61,CE,Nova Olinda,2309201,city,15,96.37006,0,0,0,0.0,15565,True,False
26,2020-06-23,51,CE,Nova Russas,2309300,city,159,491.8337,9,12,1,0.0755,32328,True,False
26,2020-06-23,80,CE,Novo Oriente,2309409,city,37,129.33897,3,4,0,0.1081,28607,True,False
26,2020-06-23,64,CE,Ocara,2309458,city,241,937.63374,16,9,0,0.0373,25703,True,False
26,2020-06-23,68,CE,Orós,2309508,city,148,690.71732,16,2,0,0.0135,21427,True,False
26,2020-06-23,73,CE,Pacajus,2309607,city,632,875.30989,41,25,0,0.0396,72203,True,False
26,2020-06-23,80,CE,Pacatuba,2309706,city,931,1115.8788,27,64,1,0.0687,83432,True,False
26,2020-06-23,62,CE,Pacoti,2309805,city,138,1125.51994,5,5,0,0.0362,12261,True,False
26,2020-06-23,41,CE,Pacujá,2309904,city,66,1010.25563,10,1,0,0.0152,6533,True,False
26,2020-06-23,44,CE,Palhano,2310001,city,39,415.51247,0,1,0,0.0256,9386,True,False
26,2020-06-23,44,CE,Palmácia,2310100,city,149,1118.45068,2,4,0,0.0268,13322,True,False
26,2020-06-23,71,CE,Paracuru,2310209,city,361,1029.19375,23,27,0,0.0748,35076,True,False
26,2020-06-23,60,CE,Paraipaba,2310258,city,329,1004.76423,20,20,1,0.0608,32744,True,False
26,2020-06-23,51,CE,Parambu,2310308,city,140,444.14835,33,12,1,0.0857,31521,True,False
26,2020-06-23,48,CE,Paramoti,2310407,city,82,670.70178,12,1,0,0.0122,12226,True,False
26,2020-06-23,80,CE,Pedra Branca,2310506,city,76,175.69005,-1,6,0,0.0789,43258,True,False
26,2020-06-23,37,CE,Penaforte,2310605,city,10,110.16856,0,3,1,0.3,9077,True,False
26,2020-06-23,65,CE,Pentecoste,2310704,city,420,1112.55331,30,21,0,0.05,37751,True,False
26,2020-06-23,66,CE,Pereiro,2310803,city,22,134.91139,3,0,0,0.0,16307,True,False
26,2020-06-23,80,CE,Pindoretama,2310852,city,254,1234.98809,15,11,0,0.0433,20567,True,False
26,2020-06-23,37,CE,Piquet Carneiro,2310902,city,17,100.24176,6,0,0,0.0,16959,True,False
26,2020-06-23,45,CE,Pires Ferreira,2310951,city,12,109.57903,3,0,0,0.0,10951,True,False
26,2020-06-23,55,CE,Poranga,2311009,city,27,218.8716,1,0,0,0.0,12336,True,False
26,2020-06-23,69,CE,Porteiras,2311108,city,18,120.03201,4,1,0,0.0556,14996,True,False
26,2020-06-23,45,CE,Potengi,2311207,city,59,534.17836,3,0,0,0.0,11045,True,False
26,2020-06-23,66,CE,Potiretama,2311231,city,20,311.57501,0,0,0,0.0,6419,True,False
26,2020-06-23,70,CE,Quiterianópolis,2311264,city,52,246.63252,2,2,0,0.0385,21084,True,False
26,2020-06-23,88,CE,Quixadá,2311306,city,1602,1826.09885,77,41,0,0.0256,87728,True,False
26,2020-06-23,61,CE,Quixelô,2311355,city,172,1063.17221,41,2,0,0.0116,16178,True,False
26,2020-06-23,80,CE,Quixeramobim,2311405,city,565,696.82544,6,23,0,0.0407,81082,True,False
26,2020-06-23,75,CE,Quixeré,2311504,city,169,763.01413,13,5,0,0.0296,22149,True,False
26,2020-06-23,70,CE,Redenção,2311603,city,634,2182.2187,22,24,3,0.0379,29053,True,False
26,2020-06-23,69,CE,Reriutaba,2311702,city,84,454.27505,27,5,0,0.0595,18491,True,False
26,2020-06-23,75,CE,Russas,2311801,city,737,942.52756,86,18,2,0.0244,78194,True,False
26,2020-06-23,33,CE,Saboeiro,2311900,city,23,145.39478,4,1,0,0.0435,15819,True,False
